drug_name,normalized_name,source,source_score,target_symbol,disease_association_score,max_clinical_stage,n_sources,sort_score
Guanidine,guanidine,hetionet,0.0045533176990832,,,,1,0.0045533176990832
Varenicline,varenicline,hetionet,0.0045184068219713,,,,1,0.0045184068219713
Fenoldopam,fenoldopam,hetionet,0.0044393191337956,,,,1,0.0044393191337956
Cisplatin,cisplatin,hetionet,0.0044321534661325,,,,1,0.0044321534661325
Ioflupane I 123,ioflupane i 123,hetionet,0.0043376122046096,,,,1,0.0043376122046096
Rasagiline,rasagiline,hetionet,0.004204084916582,,,,1,0.004204084916582
Asenapine,asenapine,hetionet,0.0040123576876306,,,,1,0.0040123576876306
Riboflavin,riboflavin,hetionet,0.0039998697377075,,,,1,0.0039998697377075
Minocycline,minocycline,hetionet,0.0039996053102189,,,,1,0.0039996053102189
Hexobarbital,hexobarbital,hetionet,0.0039846053838015,,,,1,0.0039846053838015
Nebivolol,nebivolol,hetionet,0.0039114025551949,,,,1,0.0039114025551949
Clenbuterol,clenbuterol,hetionet,0.0038793665816139,,,,1,0.0038793665816139
Methoxyflurane,methoxyflurane,hetionet,0.0038086584720159,,,,1,0.0038086584720159
Micafungin,micafungin,hetionet,0.0037766727182045,,,,1,0.0037766727182045
Paroxetine,paroxetine,hetionet,0.0037474596860253,,,,1,0.0037474596860253
